ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,3578002,504321,239863,167269,23551428
Valysar,CentralSouth,50599917,10072150,7560809,5272531,742372396
Valysar,CentralNorth,35919857,5540240,3724982,2597616,365744392
Valysar,NorthHorst,5826174,568274,164035,100759,19738646
Valysar,CentralRamp,14222955,2209129,1491720,1040251,146467362
Valysar,CentralHorst,86769326,14295574,10914231,7611040,1071634410
Valysar,EastLowland,8459281,1487172,880388,613938,86442526
Therys,WestLowland,674773,130387,59433,41445,5835496
Therys,CentralSouth,4523619,1112961,718233,500860,70521024
Therys,CentralNorth,20464982,4054067,2428276,1693358,238424880
Therys,NorthHorst,14753106,2033197,888779,545933,106948308
Therys,CentralRamp,6774517,1659692,1261280,879554,123841213
Therys,CentralHorst,31254298,7446688,5832652,4067400,572689959
Therys,EastLowland,197266,65839,37422,26096,3674340
Volon,WestLowland,0,0,0,0,0
Volon,CentralSouth,24670200,4607383,3453659,2408409,339104033
Volon,CentralNorth,6110091,886725,488325,340533,47947072
Volon,NorthHorst,6605154,1226352,927840,569926,111648577
Volon,CentralRamp,11811309,2047895,1515157,1056595,148768603
Volon,CentralHorst,82067103,14692036,11820855,8243274,1160653067
Volon,EastLowland,0,0,0,0,0
