ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,10478426,1430886,639763,446139,62816340,0,0,0,0,0
Valysar,CentralSouth,69454237,13436280,10425241,7270043,1023622047,0,0,0,0,0
Valysar,CentralNorth,35759209,6082373,4227081,2947755,415043923,0,0,0,0,0
Valysar,NorthHorst,3533245,486703,233093,143178,28048501,24772940,3460189,2511347,584034067,89357
Valysar,CentralRamp,13702251,2411671,1787795,1246719,175538077,0,0,0,0,0
Valysar,CentralHorst,86583378,15443896,11818862,8241884,1160457324,0,0,0,0,0
Valysar,EastLowland,354436,69399,27749,19350,2724545,0,0,0,0,0
Therys,WestLowland,2838069,592418,286268,199629,28107784,0,0,0,0,0
Therys,CentralSouth,15016524,3557929,2264515,1579160,222345688,0,0,0,0,0
Therys,CentralNorth,20560220,3937616,2404196,1676566,236060502,0,0,0,0,0
Therys,NorthHorst,5183824,777018,284206,174574,34198963,16904750,2903929,1836380,427065181,65341
Therys,CentralRamp,6637994,1546995,1185402,826640,116390984,0,0,0,0,0
Therys,CentralHorst,29359387,7082112,5520544,3849752,542045091,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,317289,49671,24167,16853,2372858,0,0,0,0,0
Volon,CentralSouth,27195471,4665120,3076635,2145492,302085218,0,0,0,0,0
Volon,CentralNorth,6538551,923378,465960,324937,45751182,0,0,0,0,0
Volon,NorthHorst,3967585,755910,550840,338354,66283540,3321549,626013,541965,126038263,19284
Volon,CentralRamp,12715984,2335392,1727008,1204329,169569526,0,0,0,0,0
Volon,CentralHorst,82164021,13709390,10155178,7081714,997105403,0,0,0,0,0
Volon,EastLowland,3593,517,0,0,0,0,0,0,0,0
