SWAT,SGAS,WELLMODEL,DEPTH,WELL,CONJPOS,PRESSURE,DRAWDOWN,CONIDX,CONIPOS,CONBPRES,CONKPOS,DATE
0.05649875849485397,0.0,STANDARD,1641.094970703125,R_A2,30,300.6733093261719,0,1,22,300.6733093261719,1,2018-01-01
0.05709094554185867,0.0,STANDARD,1642.8890380859375,R_A2,30,300.7936096191406,0,2,22,300.7936096191406,2,2018-01-01
0.06132970005273819,0.0,STANDARD,1644.68310546875,R_A2,30,300.9139099121094,0,3,22,300.9139099121094,3,2018-01-01
0.06751589477062225,0.0,STANDARD,1646.4771728515625,R_A2,30,301.0342102050781,0,4,22,301.0342102050781,4,2018-01-01
0.07101739197969437,0.0,STANDARD,1648.2713623046875,R_A2,30,301.1545104980469,0,5,22,301.1545104980469,5,2018-01-01
0.3220924139022827,0.0,STANDARD,1650.0654296875,R_A2,30,301.27484130859375,0,6,22,301.27484130859375,6,2018-01-01
0.6901668310165405,0.0,STANDARD,1651.859619140625,R_A2,30,301.3951721191406,0,7,22,301.3951721191406,7,2018-01-01
0.6481541991233826,0.0,STANDARD,1653.6536865234375,R_A2,30,301.5154724121094,0,8,22,301.5154724121094,8,2018-01-01
0.6481541991233826,0.0,STANDARD,1655.44775390625,R_A2,30,301.63580322265625,0,9,22,301.63580322265625,9,2018-01-01
0.9162277579307556,0.0,STANDARD,1657.2418212890625,R_A2,30,301.7561340332031,0,10,22,301.7561340332031,10,2018-01-01
0.07591938227415085,0.0,STANDARD,1659.1368408203125,R_A2,30,301.88323974609375,0,11,22,301.88323974609375,11,2018-01-01
0.08079689741134644,0.0,STANDARD,1661.132568359375,R_A2,30,302.01708984375,0,12,22,302.01708984375,12,2018-01-01
0.45630839467048645,0.0,STANDARD,1663.12841796875,R_A2,30,302.1509704589844,0,13,22,302.1509704589844,13,2018-01-01
0.503816545009613,0.0,STANDARD,1665.1241455078125,R_A2,30,302.28485107421875,0,14,22,302.28485107421875,14,2018-01-01
0.6866241097450256,0.0,STANDARD,1667.1199951171875,R_A2,30,302.4187316894531,0,15,22,302.4187316894531,15,2018-01-01
0.9751048684120178,0.0,STANDARD,1669.11572265625,R_A2,30,302.5526123046875,0,16,22,302.5526123046875,16,2018-01-01
0.9595911502838135,0.0,STANDARD,1671.111572265625,R_A2,30,302.6864929199219,0,17,22,302.6864929199219,17,2018-01-01
0.980763852596283,0.0,STANDARD,1672.9881591796875,R_A2,30,302.8123779296875,0,18,22,302.8123779296875,18,2018-01-01
0.999263346195221,0.0,STANDARD,1674.229736328125,R_A2,29,302.89569091796875,0,19,22,302.89569091796875,18,2018-01-01
1.0,0.0,STANDARD,1676.1676025390625,R_A2,29,303.02569580078125,0,20,22,303.02569580078125,27,2018-01-01
1.0,0.0,STANDARD,1677.9368896484375,R_A2,29,303.47802734375,0,21,22,303.47802734375,28,2018-01-01
1.0,0.0,STANDARD,1679.7061767578125,R_A2,29,303.64569091796875,0,22,22,303.64569091796875,29,2018-01-01
1.0,0.0,STANDARD,1681.4754638671875,R_A2,29,303.8133544921875,0,23,22,303.8133544921875,30,2018-01-01
1.0,0.0,STANDARD,1683.2447509765625,R_A2,29,303.98101806640625,0,24,22,303.98101806640625,31,2018-01-01
0.6481541991233826,0.0,STANDARD,1609.243408203125,R_A3,41,298.53814697265625,0,1,28,298.53814697265625,1,2018-01-01
0.22876429557800293,0.0,STANDARD,1611.3077392578125,R_A3,41,298.676513671875,0,2,28,298.676513671875,2,2018-01-01
0.19760067760944366,0.0,STANDARD,1613.3720703125,R_A3,41,298.8148498535156,0,3,28,298.8148498535156,3,2018-01-01
0.3792901039123535,0.0,STANDARD,1615.4365234375,R_A3,41,298.9532165527344,0,4,28,298.9532165527344,4,2018-01-01
0.8267315626144409,0.0,STANDARD,1617.5008544921875,R_A3,41,299.0915832519531,0,5,28,299.0915832519531,5,2018-01-01
0.22688354551792145,0.0,STANDARD,1619.565185546875,R_A3,41,299.2299499511719,0,6,28,299.2299499511719,6,2018-01-01
0.26596105098724365,0.0,STANDARD,1609.3663330078125,R_A3,41,298.54638671875,0,7,29,298.54638671875,6,2018-01-01
0.19722381234169006,0.0,STANDARD,1611.4163818359375,R_A3,41,298.68377685546875,0,8,29,298.68377685546875,7,2018-01-01
0.3807685971260071,0.0,STANDARD,1613.46630859375,R_A3,41,298.8211669921875,0,9,29,298.8211669921875,8,2018-01-01
0.8020743727684021,0.0,STANDARD,1615.516357421875,R_A3,41,298.95855712890625,0,10,29,298.95855712890625,9,2018-01-01
0.7998339533805847,0.0,STANDARD,1617.5662841796875,R_A3,41,299.095947265625,0,11,29,299.095947265625,10,2018-01-01
0.048946261405944824,0.0,STANDARD,1619.750732421875,R_A3,41,299.24237060546875,0,12,29,299.24237060546875,11,2018-01-01
0.05424661189317703,0.0,STANDARD,1622.0697021484375,R_A3,41,299.3978271484375,0,13,29,299.3978271484375,12,2018-01-01
0.3695291578769684,0.0,STANDARD,1624.388671875,R_A3,41,299.5532531738281,0,14,29,299.5532531738281,13,2018-01-01
0.36767199635505676,0.0,STANDARD,1626.707763671875,R_A3,41,299.7087097167969,0,15,29,299.7087097167969,14,2018-01-01
0.4412824809551239,0.0,STANDARD,1629.026611328125,R_A3,41,299.8641662597656,0,16,29,299.8641662597656,15,2018-01-01
0.8111897110939026,0.0,STANDARD,1630.9468994140625,R_A3,41,299.992919921875,0,17,29,299.992919921875,16,2018-01-01
0.37905046343803406,0.0,STANDARD,1633.5262451171875,R_A3,41,300.16583251953125,0,18,29,300.16583251953125,27,2018-01-01
0.04574024677276611,0.0,STANDARD,1637.1630859375,R_A3,41,300.40966796875,0,19,29,300.40966796875,28,2018-01-01
0.05056381970643997,0.0,STANDARD,1640.8001708984375,R_A3,41,300.6535339355469,0,20,29,300.6535339355469,29,2018-01-01
