ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,5732977,929218,496895,346510,48788550,0,0,0,0,0
Valysar,CentralSouth,61115068,11722548,8961387,6249224,879890713,0,0,0,0,0
Valysar,CentralNorth,35873327,5969512,4168933,2907206,409334623,0,0,0,0,0
Valysar,NorthHorst,3907202,413979,138596,85133,16677514,22115611,2786103,1689335,392868499,60109
Valysar,CentralRamp,14116508,2316304,1811337,1263136,177849571,0,0,0,0,0
Valysar,CentralHorst,86806568,13032668,9527430,6643954,935468806,0,0,0,0,0
Valysar,EastLowland,2209752,410640,246475,171879,24200604,0,0,0,0,0
Therys,WestLowland,2814898,450438,196197,136818,19263991,0,0,0,0,0
Therys,CentralSouth,8852866,2300991,1549808,1080759,152170873,0,0,0,0,0
Therys,CentralNorth,20117317,3418745,1932952,1347944,189790531,0,0,0,0,0
Therys,NorthHorst,4774727,683173,251866,154709,30307494,16355695,2523077,1602855,372756885,57032
Therys,CentralRamp,6823554,1557673,1221949,852126,119979398,0,0,0,0,0
Therys,CentralHorst,30523588,7263074,5638576,3932061,553634231,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,470892,93756,64041,44659,6287957,0,0,0,0,0
Volon,CentralSouth,33435131,6488516,4754408,3315487,466820578,0,0,0,0,0
Volon,CentralNorth,6299404,936967,519507,362279,51008823,0,0,0,0,0
Volon,NorthHorst,3010708,599558,439342,269866,52866756,4358042,852689,721731,167844488,25680
Volon,CentralRamp,13502077,2300499,1646996,1148533,161713397,0,0,0,0,0
Volon,CentralHorst,83217857,14145920,10769082,7509820,1057382666,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
