ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,11321796,1691310,953278,664768,93599370,0,0,0,0,0
Valysar,CentralSouth,63694214,11223796,8145809,5680480,799811669,0,0,0,0,0
Valysar,CentralNorth,33119243,5536924,3768452,2627930,370012618,0,0,0,0,0
Valysar,NorthHorst,3067579,448253,234814,144235,28255549,24038074,2968967,1779108,413746030,63303
Valysar,CentralRamp,13926607,2272528,1577124,1099807,154852891,0,0,0,0,0
Valysar,CentralHorst,85571785,14045190,10524474,7339243,1033365415,0,0,0,0,0
Valysar,EastLowland,1300491,249204,149246,104077,14654002,0,0,0,0,0
Therys,WestLowland,3551114,778420,478287,333534,46961552,0,0,0,0,0
Therys,CentralSouth,12085616,2999571,2009587,1401386,197315139,0,0,0,0,0
Therys,CentralNorth,19643012,3336846,1886610,1315628,185240386,0,0,0,0,0
Therys,NorthHorst,5719138,757500,245557,150834,29548318,16798061,2513977,1482451,344756075,52748
Therys,CentralRamp,6929176,1590599,1214346,846824,119232849,0,0,0,0,0
Therys,CentralHorst,29815829,7445107,5777600,4029010,567284623,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,362500,52833,30916,21559,3035526,0,0,0,0,0
Volon,CentralSouth,28489734,5021596,3644076,2541197,357800528,0,0,0,0,0
Volon,CentralNorth,6704621,935689,479249,334204,47055944,0,0,0,0,0
Volon,NorthHorst,3740482,663746,478015,293621,57520328,3245944,571657,462799,107627621,16467
Volon,CentralRamp,12382892,2259797,1744566,1216573,171293545,0,0,0,0,0
Volon,CentralHorst,80874164,13411455,9967824,6951063,978709663,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
