CONKPOS,WELL,SWAT,WELLMODEL,CONIPOS,DEPTH,DRAWDOWN,CONBPRES,PRESSURE,CONIDX,DATE,SGAS,CONJPOS
1,R_A2,0.05673010274767876,STANDARD,22,1641.094970703125,0,300.6733093261719,300.6733093261719,1,2018-01-01,0.0,30
2,R_A2,0.05777252838015556,STANDARD,22,1642.8890380859375,0,300.7936096191406,300.7936096191406,2,2018-01-01,0.0,30
3,R_A2,0.060030754655599594,STANDARD,22,1644.68310546875,0,300.9139099121094,300.9139099121094,3,2018-01-01,0.0,30
4,R_A2,0.06766234338283539,STANDARD,22,1646.4771728515625,0,301.0342102050781,301.0342102050781,4,2018-01-01,0.0,30
5,R_A2,0.06880508363246918,STANDARD,22,1648.2713623046875,0,301.1545104980469,301.1545104980469,5,2018-01-01,0.0,30
6,R_A2,0.31025803089141846,STANDARD,22,1650.0654296875,0,301.27484130859375,301.27484130859375,6,2018-01-01,0.0,30
7,R_A2,0.891412079334259,STANDARD,22,1651.859619140625,0,301.3951721191406,301.3951721191406,7,2018-01-01,0.0,30
8,R_A2,0.8774909377098083,STANDARD,22,1653.6536865234375,0,301.5154724121094,301.5154724121094,8,2018-01-01,0.0,30
9,R_A2,0.9038383364677429,STANDARD,22,1655.44775390625,0,301.63580322265625,301.63580322265625,9,2018-01-01,0.0,30
10,R_A2,0.9149646162986755,STANDARD,22,1657.2418212890625,0,301.7561340332031,301.7561340332031,10,2018-01-01,0.0,30
11,R_A2,0.07614300400018692,STANDARD,22,1659.1368408203125,0,301.88323974609375,301.88323974609375,11,2018-01-01,0.0,30
12,R_A2,0.07716154307126999,STANDARD,22,1661.132568359375,0,302.01708984375,302.01708984375,12,2018-01-01,0.0,30
13,R_A2,0.4616602957248688,STANDARD,22,1663.12841796875,0,302.1509704589844,302.1509704589844,13,2018-01-01,0.0,30
14,R_A2,0.5056487321853638,STANDARD,22,1665.1241455078125,0,302.28485107421875,302.28485107421875,14,2018-01-01,0.0,30
15,R_A2,0.6890329718589783,STANDARD,22,1667.1199951171875,0,302.4187316894531,302.4187316894531,15,2018-01-01,0.0,30
16,R_A2,0.9704177379608154,STANDARD,22,1669.11572265625,0,302.5526123046875,302.5526123046875,16,2018-01-01,0.0,30
17,R_A2,0.949622392654419,STANDARD,22,1671.111572265625,0,302.6864929199219,302.6864929199219,17,2018-01-01,0.0,30
18,R_A2,0.9828952550888062,STANDARD,22,1672.9881591796875,0,302.8123779296875,302.8123779296875,18,2018-01-01,0.0,30
18,R_A2,0.9966256022453308,STANDARD,22,1674.229736328125,0,302.89569091796875,302.89569091796875,19,2018-01-01,0.0,29
27,R_A2,1.0,STANDARD,22,1676.1676025390625,0,303.02569580078125,303.02569580078125,20,2018-01-01,0.0,29
28,R_A2,1.0,STANDARD,22,1677.9368896484375,0,303.47802734375,303.47802734375,21,2018-01-01,0.0,29
29,R_A2,1.0,STANDARD,22,1679.7061767578125,0,303.64569091796875,303.64569091796875,22,2018-01-01,0.0,29
30,R_A2,1.0,STANDARD,22,1681.4754638671875,0,303.8133544921875,303.8133544921875,23,2018-01-01,0.0,29
31,R_A2,1.0,STANDARD,22,1683.2447509765625,0,303.98101806640625,303.98101806640625,24,2018-01-01,0.0,29
1,R_A3,0.6481541991233826,STANDARD,28,1609.243408203125,0,298.53814697265625,298.53814697265625,1,2018-01-01,0.0,41
2,R_A3,0.19717952609062195,STANDARD,28,1611.3077392578125,0,298.676513671875,298.676513671875,2,2018-01-01,0.0,41
3,R_A3,0.15042813122272491,STANDARD,28,1613.3720703125,0,298.8148498535156,298.8148498535156,3,2018-01-01,0.0,41
4,R_A3,0.6481541991233826,STANDARD,28,1615.4365234375,0,298.9532165527344,298.9532165527344,4,2018-01-01,0.0,41
5,R_A3,0.8328844904899597,STANDARD,28,1617.5008544921875,0,299.0915832519531,299.0915832519531,5,2018-01-01,0.0,41
6,R_A3,0.6481541991233826,STANDARD,28,1619.565185546875,0,299.2299499511719,299.2299499511719,6,2018-01-01,0.0,41
6,R_A3,0.6481541991233826,STANDARD,29,1609.3663330078125,0,298.54638671875,298.54638671875,7,2018-01-01,0.0,41
7,R_A3,0.19782783091068268,STANDARD,29,1611.4163818359375,0,298.68377685546875,298.68377685546875,8,2018-01-01,0.0,41
8,R_A3,0.1995648592710495,STANDARD,29,1613.46630859375,0,298.8211669921875,298.8211669921875,9,2018-01-01,0.0,41
9,R_A3,0.7997170090675354,STANDARD,29,1615.516357421875,0,298.95855712890625,298.95855712890625,10,2018-01-01,0.0,41
10,R_A3,0.8015515208244324,STANDARD,29,1617.5662841796875,0,299.095947265625,299.095947265625,11,2018-01-01,0.0,41
11,R_A3,0.04906727373600006,STANDARD,29,1619.750732421875,0,299.24237060546875,299.24237060546875,12,2018-01-01,0.0,41
12,R_A3,0.05435820296406746,STANDARD,29,1622.0697021484375,0,299.3978271484375,299.3978271484375,13,2018-01-01,0.0,41
13,R_A3,0.36790597438812256,STANDARD,29,1624.388671875,0,299.5532531738281,299.5532531738281,14,2018-01-01,0.0,41
15,R_A3,0.5019171237945557,STANDARD,29,1629.026611328125,0,299.8641662597656,299.8641662597656,15,2018-01-01,0.0,41
16,R_A3,0.8088846802711487,STANDARD,29,1630.9468994140625,0,299.992919921875,299.992919921875,16,2018-01-01,0.0,41
27,R_A3,0.6481541991233826,STANDARD,29,1633.5262451171875,0,300.16583251953125,300.16583251953125,17,2018-01-01,0.0,41
28,R_A3,0.04671987146139145,STANDARD,29,1637.1630859375,0,300.40966796875,300.40966796875,18,2018-01-01,0.0,41
29,R_A3,0.052011314779520035,STANDARD,29,1640.8001708984375,0,300.6535339355469,300.6535339355469,19,2018-01-01,0.0,41
30,R_A3,0.6723677515983582,STANDARD,29,1644.4371337890625,0,300.89739990234375,300.89739990234375,20,2018-01-01,0.0,41
31,R_A3,0.06565839052200317,STANDARD,29,1648.0740966796875,0,301.14129638671875,301.14129638671875,21,2018-01-01,0.0,41
1,R_A4,0.05159545689821243,STANDARD,30,1631.1873779296875,0,300.009033203125,300.009033203125,1,2018-01-01,0.0,52
1,R_A4,0.049295369535684586,STANDARD,31,1627.4293212890625,0,299.7571105957031,299.7571105957031,2,2018-01-01,0.0,52
2,R_A4,0.05215280130505562,STANDARD,31,1629.4896240234375,0,299.89520263671875,299.89520263671875,3,2018-01-01,0.0,52
3,R_A4,0.054117489606142044,STANDARD,31,1631.5498046875,0,300.0333251953125,300.0333251953125,4,2018-01-01,0.0,52
4,R_A4,0.05574403703212738,STANDARD,31,1633.610107421875,0,300.17144775390625,300.17144775390625,5,2018-01-01,0.0,52
4,R_A4,0.05757410079240799,STANDARD,32,1632.3968505859375,0,300.0901184082031,300.0901184082031,6,2018-01-01,0.0,52
4,R_A4,0.05810001865029335,STANDARD,32,1635.880615234375,0,300.3236999511719,300.3236999511719,7,2018-01-01,0.0,51
4,R_A4,0.06064717099070549,STANDARD,33,1637.321044921875,0,300.4202575683594,300.4202575683594,8,2018-01-01,0.0,51
3,R_A4,0.058206330984830856,STANDARD,33,1635.474609375,0,300.29644775390625,300.29644775390625,9,2018-01-01,0.0,51
4,R_A4,0.2798222005367279,STANDARD,33,1642.1485595703125,0,300.74395751953125,300.74395751953125,10,2018-01-01,0.0,50
4,R_A4,0.6481541991233826,STANDARD,34,1641.132080078125,0,300.67578125,300.67578125,11,2018-01-01,0.0,50
3,R_A4,0.09663576632738113,STANDARD,34,1639.20703125,0,300.5467224121094,300.5467224121094,12,2018-01-01,0.0,50
3,R_A4,0.16213864088058472,STANDARD,35,1640.9061279296875,0,300.66064453125,300.66064453125,13,2018-01-01,0.0,50
2,R_A4,0.18770018219947815,STANDARD,35,1639.0426025390625,0,300.53570556640625,300.53570556640625,14,2018-01-01,0.0,50
2,R_A4,0.2386992871761322,STANDARD,35,1641.93212890625,0,300.72943115234375,300.72943115234375,15,2018-01-01,0.0,49
30,R_A4,0.09703515470027924,STANDARD,36,1642.357421875,0,300.7579650878906,300.7579650878906,16,2018-01-01,0.0,49
30,R_A4,0.05722138658165932,STANDARD,36,1639.6068115234375,0,300.5735168457031,300.5735168457031,17,2018-01-01,0.0,48
30,R_A4,0.06256399303674698,STANDARD,37,1646.7513427734375,0,301.0526123046875,301.0526123046875,18,2018-01-01,0.0,48
