ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,22882218,4236530,2834266,1976476,278287804,0,0,0,0,0
Valysar,CentralSouth,55909022,9892396,7204712,5024206,707408282,0,0,0,0,0
Valysar,CentralNorth,44299408,7052453,4359555,3040136,428051204,0,0,0,0,0
Valysar,NorthHorst,4501533,468312,192773,118411,23196723,27275015,3575489,2404209,559118426,85545
Valysar,CentralRamp,13167844,1780698,1162779,810864,114169672,0,0,0,0,0
Valysar,CentralHorst,81075510,13034063,9294326,6481399,912580999,0,0,0,0,0
Valysar,EastLowland,1284817,230721,115862,80797,11376155,0,0,0,0,0
Therys,WestLowland,10346081,1779578,798214,556635,78374184,0,0,0,0,0
Therys,CentralSouth,6876113,1843914,1337171,932476,131292685,0,0,0,0,0
Therys,CentralNorth,18921234,3797630,2314784,1614215,227281472,0,0,0,0,0
Therys,NorthHorst,8028327,1100295,420359,258206,50582500,18157651,3108548,1926438,448008834,68545
Therys,CentralRamp,6431608,1491300,1150975,802632,113010633,0,0,0,0,0
Therys,CentralHorst,23252967,5687064,4509905,3144983,442813573,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,878206,156042,99489,69378,9768473,0,0,0,0,0
Volon,CentralSouth,21967698,3921754,2937071,2048167,288381865,0,0,0,0,0
Volon,CentralNorth,6423215,967151,540910,377203,53110244,0,0,0,0,0
Volon,NorthHorst,5811843,1109058,848574,521237,102110343,2964550,576323,493870,114853573,17573
Volon,CentralRamp,12699353,2201923,1599611,1115489,157060878,0,0,0,0,0
Volon,CentralHorst,76540890,12441193,9157921,6386277,899187866,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
